package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
AnsiColorsLib-1.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\AnsiColorsLib-1.0.3.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
anson-0.0.0a0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\anson-0.0.0a0.tar.gz,tar,1,1,0,0,1,2,0,1,imports detected
antchain_abcdjb-1.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_abcdjb-1.0.3.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_abcdjb1-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_abcdjb1-1.0.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_acc-1.1.51,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_acc-1.1.51.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_account-1.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_account-1.0.9.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_acm-1.5.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_acm-1.5.2.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_acs_iot-1.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_acs_iot-1.0.1.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_baas_midway-1.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_baas_midway-1.0.1.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_baasplus-1.2.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_baasplus-1.2.8.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_billing-1.3.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_billing-1.3.1.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_blockchain-1.28.20,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_blockchain-1.28.20.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_blockchain-1.28.24,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_blockchain-1.28.24.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_cafecmdb-1.0.27,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_cafecmdb-1.0.27.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_cas-1.4.59,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_cas-1.4.59.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_cat-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_cat-1.0.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_commercial-1.0.26,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_commercial-1.0.26.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_commercialexternal-1.0.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_commercialexternal-1.0.7.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_das-1.1.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_das-1.1.6.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_dog-1.1.23,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_dog-1.1.23.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_donpa-1.0.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_donpa-1.0.4.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_ebc-1.3.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_ebc-1.3.8.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
