package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
antchain_ent-1.4.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_ent-1.4.8.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_gatewayx-1.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_gatewayx-1.0.9.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_goodschain-1.0.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_goodschain-1.0.4.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_iam-3.12.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_iam-3.12.8.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_industry-1.3.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_industry-1.3.2.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_loadtestmock-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_loadtestmock-1.0.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_mq-3.8.22,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_mq-3.8.22.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_ms-3.4.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_ms-3.4.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_mytc-1.6.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_mytc-1.6.4.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_notification-1.0.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_notification-1.0.4.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_op-3.2.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_op-3.2.3.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_pcc-1.3.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_pcc-1.3.7.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_realperson-1.9.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_realperson-1.9.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_rms-1.3.273,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_rms-1.3.273.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
antchain_sds-1.3.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_sds-1.3.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
