package_id,archive,archive_type,setup_member,setup_size_bytes,parser,unique_import_count,total_import_occurrences,imports
antchain_blockchain-1.28.20,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_blockchain-1.28.20.tar.gz,tar,antchain_blockchain-1.28.20/setup.py,2524,ast,2,2,os; setuptools
antchain_blockchain-1.28.24,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_blockchain-1.28.24.tar.gz,tar,antchain_blockchain-1.28.24/setup.py,2524,ast,2,2,os; setuptools
antchain_cafecmdb-1.0.27,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_cafecmdb-1.0.27.tar.gz,tar,antchain_cafecmdb-1.0.27/setup.py,2513,ast,2,2,os; setuptools
antchain_cas-1.4.59,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_cas-1.4.59.tar.gz,tar,antchain_cas-1.4.59/setup.py,2488,ast,2,2,os; setuptools
antchain_cat-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_cat-1.0.0.tar.gz,tar,antchain_cat-1.0.0/setup.py,2488,ast,2,2,os; setuptools
antchain_commercial-1.0.26,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_commercial-1.0.26.tar.gz,tar,antchain_commercial-1.0.26/setup.py,2523,ast,2,2,os; setuptools
antchain_commercialexternal-1.0.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_commercialexternal-1.0.7.tar.gz,tar,antchain_commercialexternal-1.0.7/setup.py,2563,ast,2,2,os; setuptools
antchain_das-1.1.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_das-1.1.6.tar.gz,tar,antchain_das-1.1.6/setup.py,2488,ast,2,2,os; setuptools
antchain_dog-1.1.23,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_dog-1.1.23.tar.gz,tar,antchain_dog-1.1.23/setup.py,2493,ast,2,2,os; setuptools
antchain_donpa-1.0.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_donpa-1.0.4.tar.gz,tar,antchain_donpa-1.0.4/setup.py,2498,ast,2,2,os; setuptools
antchain_ebc-1.3.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_ebc-1.3.8.tar.gz,tar,antchain_ebc-1.3.8/setup.py,2613,ast,3,3,os; setuptools; sys
antchain_ent-1.4.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_ent-1.4.8.tar.gz,tar,antchain_ent-1.4.8/setup.py,2488,ast,2,2,os; setuptools
antchain_gatewayx-1.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_gatewayx-1.0.9.tar.gz,tar,antchain_gatewayx-1.0.9/setup.py,2514,ast,2,2,os; setuptools
antchain_goodschain-1.0.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_goodschain-1.0.4.tar.gz,tar,antchain_goodschain-1.0.4/setup.py,2523,ast,2,2,os; setuptools
antchain_iam-3.12.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_iam-3.12.8.tar.gz,tar,antchain_iam-3.12.8/setup.py,2488,ast,2,2,os; setuptools
antchain_industry-1.3.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_industry-1.3.2.tar.gz,tar,antchain_industry-1.3.2/setup.py,2513,ast,2,2,os; setuptools
antchain_loadtestmock-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_loadtestmock-1.0.0.tar.gz,tar,antchain_loadtestmock-1.0.0/setup.py,2533,ast,2,2,os; setuptools
antchain_mq-3.8.22,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_mq-3.8.22.tar.gz,tar,antchain_mq-3.8.22/setup.py,2483,ast,2,2,os; setuptools
antchain_ms-3.4.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_ms-3.4.0.tar.gz,tar,antchain_ms-3.4.0/setup.py,2483,ast,2,2,os; setuptools
antchain_mytc-1.6.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_mytc-1.6.4.tar.gz,tar,antchain_mytc-1.6.4/setup.py,2494,ast,2,2,os; setuptools
antchain_notification-1.0.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_notification-1.0.4.tar.gz,tar,antchain_notification-1.0.4/setup.py,2533,ast,2,2,os; setuptools
antchain_op-3.2.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_op-3.2.3.tar.gz,tar,antchain_op-3.2.3/setup.py,2483,ast,2,2,os; setuptools
antchain_pcc-1.3.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_pcc-1.3.7.tar.gz,tar,antchain_pcc-1.3.7/setup.py,2488,ast,2,2,os; setuptools
antchain_realperson-1.9.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_realperson-1.9.0.tar.gz,tar,antchain_realperson-1.9.0/setup.py,2523,ast,2,2,os; setuptools
antchain_rms-1.3.273,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_rms-1.3.273.tar.gz,tar,antchain_rms-1.3.273/setup.py,2488,ast,2,2,os; setuptools
antchain_sds-1.3.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_sds-1.3.0.tar.gz,tar,antchain_sds-1.3.0/setup.py,2489,ast,2,2,os; setuptools
antchain_shuziwuliu-1.7.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_shuziwuliu-1.7.2.tar.gz,tar,antchain_shuziwuliu-1.7.2/setup.py,2524,ast,2,2,os; setuptools
antchain_smartaccount-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_smartaccount-1.0.0.tar.gz,tar,antchain_smartaccount-1.0.0/setup.py,2533,ast,2,2,os; setuptools
antchain_sp-4.1.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_sp-4.1.4.tar.gz,tar,antchain_sp-4.1.4/setup.py,2483,ast,2,2,os; setuptools
antchain_stlr-2.9.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_stlr-2.9.2.tar.gz,tar,antchain_stlr-2.9.2/setup.py,2494,ast,2,2,os; setuptools
antchain_tam-1.3.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_tam-1.3.3.tar.gz,tar,antchain_tam-1.3.3/setup.py,2489,ast,2,2,os; setuptools
antchain_tdm-1.1.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\antchain_tdm-1.1.8.tar.gz,tar,antchain_tdm-1.1.8/setup.py,2488,ast,2,2,os; setuptools
